text,case,court,date,query
"Sandra L. McGarry v. the Houston Firefighters Relief and Retirement Fund, Brett Robert Besselman in His Capacity of Chair of the Board of Trustees Od the Houston Firefighters Relief and Retirement Fund, and the Board of Trustees of the Houston Firefighters Relief and Retirement Fund (Texas Court of Appeals, 1st District (Houston))","Sandra L. McGarry v. the Houston Firefighters Relief and Retirement Fund, Brett Robert Besselman in His Capacity of Chair of the Board of Trustees Od the Houston Firefighters Relief and Retirement Fund, and the Board of Trustees of the Houston Firefighters Relief and Retirement Fund","Texas Court of Appeals, 1st District (Houston)",2023-03-09,equitable relief injunction
"Buchanan County v. EQUITABLE PRODUCTION CO. (District Court, W.D. Virginia)",Buchanan County v. EQUITABLE PRODUCTION CO.,"District Court, W.D. Virginia",2011-03-28,equitable relief injunction
City of Minneapolis v. Minneapolis Police Relief Ass'n (Court of Appeals of Minnesota),City of Minneapolis v. Minneapolis Police Relief Ass'n,Court of Appeals of Minnesota,2011-05-31,equitable relief injunction
"The plaintiff, Xavier T. Vidot, appealed from a June 14, 2023 order of the Superior Court granting the defendants' motion to dismiss and denying his request for the issuance of a writ of mandamus and an injunction. The Supreme Court concluded that the actions for which the plaintiff sought equitable relief were discretionary in nature and were not ministerial duties and that, therefore, the plaintiff could not meet the requirements for such relief. Accordingly, the Court affirmed the order of th","Xavier T. Vidot v. Wayne T. Salisbury, Jr.",Supreme Court of Rhode Island,2024-06-13,equitable relief injunction
This is a case for the enforcement of a restrictive covenant prohibiting commercial use of lots in a residentially restricted neighborhood. The trial court awarded the plaintiffs nominal damages in the sum of $500 against one defendant and denied the plaintiffs' requests for specific equitable performance and injunctive relief and for punitive damages. The plaintiffs appeal. We affirm.,Severiano Martinez Rubio v. BB&J Holdings,Court of Appeals of Tennessee,2021-06-25,equitable relief injunction
New Orleans Fire Fighters Pension & Relief Fund v. City of New Orleans (Louisiana Court of Appeal),New Orleans Fire Fighters Pension & Relief Fund v. City of New Orleans,Louisiana Court of Appeal,2014-09-24,equitable relief injunction
Equitable Building & Loan Ass'n v. Equitable Mortgage Corp. (Nebraska Court of Appeals),Equitable Building & Loan Ass'n v. Equitable Mortgage Corp.,Nebraska Court of Appeals,2003-05-27,equitable relief injunction
"Lentz v. Cahaba Disaster Relief, LLC (In re CDP Corp.) (United States Bankruptcy Court, S.D. Mississippi)","Lentz v. Cahaba Disaster Relief, LLC (In re CDP Corp.)","United States Bankruptcy Court, S.D. Mississippi",2011-07-22,equitable relief injunction
"Gonzalez v. Axa Equitable Life Insurance (District Court, D. Puerto Rico)",Gonzalez v. Axa Equitable Life Insurance,"District Court, D. Puerto Rico",2008-08-11,equitable relief injunction
United States v. Holy Land Foundation for Relief & Development (Court of Appeals for the Fifth Circuit),United States v. Holy Land Foundation for Relief & Development,Court of Appeals for the Fifth Circuit,2010-10-20,equitable relief injunction
Vicknair v. Firefighters' Pension & Relief Fund in New Orleans (Louisiana Court of Appeal),Vicknair v. Firefighters' Pension & Relief Fund in New Orleans,Louisiana Court of Appeal,2006-07-12,equitable relief injunction
"Court of Claims did not err when it dismissed appellants' defamation claim for failure to state a claim on which relief can be granted because appellants' complaint failed to allege facts which would support a finding that appellee published the allegedly defamatory letter suspending their volunteer privileges to any third party. Having properly dismissed appellants' claims for monetary relief for failure to state a claim on which relief can be granted, the Court of Claims did not err when it di","Missionaries of the Sacred Heart, Inc. v. Ohio Dept. of Youth Servs.",Ohio Court of Appeals,2020-12-08,equitable relief injunction
"South Florida Equitable Fund LLC v. City of Miami (District Court, S.D. Florida)",South Florida Equitable Fund LLC v. City of Miami,"District Court, S.D. Florida",2011-03-14,equitable relief injunction
"The duty which gives rise to a nuisance claim is the absolute duty not to act in a way which unreasonably interferes with other persons' use and enjoyment of their property. To succeed on a trespass claim, the plaintiff must establish the defendant intentionally entered the land of another, or caused a thing or third person to do so, without the consent of the landowner. A district court's decision granting or denying injunctive relief is equitable in nature, rests within its sound discretion, a",G & D Enterprises v. Liebelt,North Dakota Supreme Court,2020-10-21,equitable relief injunction
Fiduciary Trust Co. v. Manchester H. Wheeler Jr. (Supreme Judicial Court of Maine),Fiduciary Trust Co. v. Manchester H. Wheeler Jr.,Supreme Judicial Court of Maine,2016-02-04,trust equity fiduciary
Paterson v. Equity Trust Co. (Ohio Court of Appeals),Paterson v. Equity Trust Co.,Ohio Court of Appeals,2012-03-05,trust equity fiduciary
"Fraser v. Fiduciary Trust Co. International (District Court, S.D. New York)",Fraser v. Fiduciary Trust Co. International,"District Court, S.D. New York",2006-02-15,trust equity fiduciary
"Ceratosaurus Invs., LLC v. B2C Alternative Equity, LLC (Appellate Division of the Supreme Court of the State of New York)","Ceratosaurus Invs., LLC v. B2C Alternative Equity, LLC",Appellate Division of the Supreme Court of the State of New York,2025-06-12,trust equity fiduciary
Edwards v. Vanguard Fiduciary Tr. Co. (North Carolina Business Court),Edwards v. Vanguard Fiduciary Tr. Co.,North Carolina Business Court,2018-12-21,trust equity fiduciary
Howe v. Fiduciary Trust Co. (Massachusetts Superior Court),Howe v. Fiduciary Trust Co.,Massachusetts Superior Court,2001-04-19,trust equity fiduciary
"Knight Securities, L.P. v. Fiduciary Trust Co. (Appellate Division of the Supreme Court of the State of New York)","Knight Securities, L.P. v. Fiduciary Trust Co.",Appellate Division of the Supreme Court of the State of New York,2004-03-09,trust equity fiduciary
"In re Rouse Properties, Inc. Fiduciary Litigation (Court of Chancery of Delaware)","In re Rouse Properties, Inc. Fiduciary Litigation",Court of Chancery of Delaware,2018-03-09,trust equity fiduciary
"Olden Group, LLC v. 2890 Review Equity, LLC (Appellate Division of the Supreme Court of the State of New York)","Olden Group, LLC v. 2890 Review Equity, LLC",Appellate Division of the Supreme Court of the State of New York,2022-10-12,trust equity fiduciary
"Equity-League Pension Trust Fund, derivatively on behalf of Wayfair, Inc. v. Great Hill Partners, L.P. (Court of Chancery of Delaware)","Equity-League Pension Trust Fund, derivatively on behalf of Wayfair, Inc. v. Great Hill Partners, L.P.",Court of Chancery of Delaware,2021-11-23,trust equity fiduciary
Investors Equity v. Schmidt (California Court of Appeal),Investors Equity v. Schmidt,California Court of Appeal,2015-02-04,trust equity fiduciary
"Ridley v. Deutsche Bank National Trust Co. Ex Rel. GSSAA Home Equity Trust 2006-17 (In Re Ridley) (United States Bankruptcy Court, E.D. New York)",Ridley v. Deutsche Bank National Trust Co. Ex Rel. GSSAA Home Equity Trust 2006-17 (In Re Ridley),"United States Bankruptcy Court, E.D. New York",2011-07-18,trust equity fiduciary
Equity Trust Co. Custodian FBO Heather Eisenmenger Ira v. Cole (Court of Appeals of Minnesota),Equity Trust Co. Custodian FBO Heather Eisenmenger Ira v. Cole,Court of Appeals of Minnesota,2009-06-09,trust equity fiduciary
"Evergreen Equity Trust v. Federal National Mortgage Ass'n (District Court, District of Columbia)",Evergreen Equity Trust v. Federal National Mortgage Ass'n,"District Court, District of Columbia",2007-07-31,trust equity fiduciary
Fiduciary Trust Co. v. Brown (Supreme Judicial Court of Maine),Fiduciary Trust Co. v. Brown,Supreme Judicial Court of Maine,1957-03-12,trust equity fiduciary
Ottenberg v. Vanguard Fiduciary Trust Co. (Massachusetts Superior Court),Ottenberg v. Vanguard Fiduciary Trust Co.,Massachusetts Superior Court,1995-06-02,trust equity fiduciary
"Appeal from Judgment entered in the Court of Common Pleas County of Lorain, Ohio Case No. 03CV136786.","Tarquinio v. Equity Trust Co., 06 Ca 008913 (6-29-2007)",Ohio Court of Appeals,2007-06-29,trust equity fiduciary
"Procedural due process, liberty interest, adequate notice, thirty-day notice, Krishnan v. N.C. Dep't of Health & Hum. Servs., statute of limitations, doctrine of equitable estoppel, subject matter jurisdiction, tolling of a statute of limitations.",Kinlaw v. N.C. Dept. of Health & Hum. Servs.,Court of Appeals of North Carolina,2024-09-17,equitable estoppel doctrine
"Finkelstein v. AXA Equitable Life Ins. Co. (District Court, N.D. California)",Finkelstein v. AXA Equitable Life Ins. Co.,"District Court, N.D. California",2018-03-05,equitable estoppel doctrine
"The trial court erred in granting summary judgment in lessor-appellee's favor because there were genuine issues of material fact concerning whether equitable estoppel and waiver applied to the lessor's conduct. Other issues as to interpretation of the lease agreement were not raised in the trial court, and consideration of these issues under the plain error doctrine is unnecessary because the summary judgment is being reversed. Judgment reversed and remanded.","USPG Portfolio Six, L.L.C. v. Dick's Sporting Goods, Inc.",Ohio Court of Appeals,2023-02-24,equitable estoppel doctrine
The doctrines of equitable estoppel and promissory estoppel were inapplicable against the state because the state was engaged in a governmental function and no exception applied. Any erroneous attribution of evidence was harmless error because such evidence was not determinative of appellant's failure to comply with applicable Ohio Administrative Code requirements.,Mocznianski v. Ohio Dept. of Medicaid,Ohio Court of Appeals,2020-01-21,equitable estoppel doctrine
R.C. 2305.113 – STATUTE OF REPOSE – MEDICAL CLAIM: The trial court did not err in granting defendant hospital's motion to dismiss the complaint in each respective case where: (1) each plaintiff's negligent-credentialing and fraud claims were medical claims under R.C. 2305.113 and filed outside the four-year window of the statute of repose (2) the doctrines of fraud and equitable estoppel have no application against R.C. 2305.113(C) and (3) proper dismissal of the time-barred claims established b,"Janson v. Christ Hops., Inc.",Ohio Court of Appeals,2021-04-28,equitable estoppel doctrine
Bankruptcy failure to disclose judicial estoppel equitable estoppel trustee in bankruptcy bankruptcy estate standing summary judgment. Trial court properly concluded that defendant's counterclaims were barred by the doctrines of judicial estoppel and equitable estoppel and that defendant lacked standing to prosecute counterclaims where defendant failed to disclose counterclaims as contingent assets in prior litigation in the bankruptcy court.,"Chrysler Group, L.L.C. v. Dixon",Ohio Court of Appeals,2017-03-30,equitable estoppel doctrine
"The decision by the small claims court awarding a monetary judgment to a special needs school against appellant was reversed as being against the manifest weight of the evidence where the record indicated appellant withdrew her special needs son from attending school at the school upon the advice of the owner and operator of the school, thereby triggering the clear application of the doctrine of equitable estoppel to bar the school from recovering any unpaid fees allegedly owed to the school by ","Skyward Learning Servs., Inc. v. Gray",Ohio Court of Appeals,2020-03-30,equitable estoppel doctrine
"INSURANCE — SUMMARY JUDGMENT — LIMITATIONS PERIOD — CONTRACTS — WAIVER— BAD FAITH — BREACH OF CONTRACT — PROMISSORY ESTOPPEL — NEGLIGENT MISREPRESENTATION — FRAUD — MOTION TO DISMISS — EQUITABLE ESTOPPEL: Where insured's claim for breach of contract was barred by the two-year suit-limitation period in the insurance policy, and where insurer did not waive the limitation provision, the trial court did not err in granting summary judgment to insurer on the claim. The trial court erred in granting s","Eastlawn Properties, L.L.C. v. State Auto. Mut. Ins. Co.",Ohio Court of Appeals,2025-04-25,equitable estoppel doctrine
"The Supreme Court accepted jurisdiction over a certified question of law from the U.S. District Court for the District of Colorado to determine whether there should be an arbitration-specific exception to Colorado's traditionally defined doctrine of equitable estoppel. The Court held that Colorado's law of equitable estoppel applies in the same manner when a dispute involves an arbitration agreement as it does in other contexts. The Court recognized that under Colorado law, equitable estoppel re",Santich v. VCG Holding Corp.,Supreme Court of Colorado,2019-06-24,equitable estoppel doctrine
"A debtor in a Chapter 13 bankruptcy case hired an attorney to represent him in his divorce. Several years later, the attorney filed suit against the debtor for unpaid legal fees. The debtor raised the statute of limitations as a defense. The attorney claimed she delayed filing suit after receiving a letter from the debtor's bankruptcy counsel. The letter asked the attorney to ""[p]lease cease collection pursuant to the automatic stay of 11 USC § 362."" Applying the doctrine of equitable estoppel, ",Rachel L. Bell v. Michael Gardner,Court of Appeals of Tennessee,2018-09-28,equitable estoppel doctrine
"We granted permission to appeal in this case to clarify application of the doctrine of judicial estoppel. The plaintiff filed this legal malpractice action against an attorney who represented her in her divorce. She asserts that the attorney's actions so compromised her position in the divorce proceedings that she was forced to settle on unfavorable terms. After the attorney filed a motion for summary judgment, the trial court applied the doctrine of judicial estoppel. Citing the plaintiff's swo",Polly Spann Kershaw v. Jeffrey L. Levy,Tennessee Supreme Court,2019-09-18,equitable estoppel doctrine
"This is a post-divorce partition action in which the ex-wife asked the trial court to order the sale of the former marital residence and to award her, as specified in the parties' marital dissolution agreement (""the MDA""), half of the equity resulting from the sale. The ex-wife relied on the provision in the MDA, which provides that she is entitled to fifty percent of any equity in the former marital residence ""when the house sells."" The ex-husband opposed the partition action, arguing that he w",Taylor Brocato (now Dunn) v. Kyle Young,Court of Appeals of Tennessee,2024-01-02,equitable estoppel doctrine
"AXA Equitable Life Insurance v. Infinity Financial Group, LLC (District Court, S.D. Florida)","AXA Equitable Life Insurance v. Infinity Financial Group, LLC","District Court, S.D. Florida",2009-03-31,equitable estoppel doctrine
"Equitable Recovery, L.P. v. Heath Insurance Brokers of Texas, L.P. (Texas Court of Appeals, 5th District (Dallas))","Equitable Recovery, L.P. v. Heath Insurance Brokers of Texas, L.P.","Texas Court of Appeals, 5th District (Dallas)",2007-09-13,equitable estoppel doctrine
"Judgment reversed. The trial court applied the doctrine of waiver by estoppel, rather than the doctrine of equitable estoppel, to find the defendant/landlord was estopped from claiming the leases terminated on December 31, 2021. However, competent, credible evidence did not support the court's estoppel determination, because the defendant/landlord accepted the rent from the plaintiff/tenant prior to the expiration of the parties' final standstill agreement, and the defendant/landlord did not eng","Ashland Global Holdings, Inc. v. SuperAsh Remainderman Ltd. Partnership",Ohio Court of Appeals,2026-03-26,equitable estoppel doctrine
